2018年 医 保 药 品 目 录,,,,,,,,,,
,,,,,,,,,,,
序号,医保项目编码,医保项目名称,统计类别,目录等级,医疗目录,工伤目录,生育目录,普通人员支付类型,特殊人群支付类型,居民支付类型
4341,N330100003_02,腰麻,麻醉费,甲类,属于,不属于,属于,无先支付,无先支付,无先支付
4342,N330100003_03,硬膜外阻滞麻醉,麻醉费,甲类,属于,不属于,属于,无先支付,无先支付,无先支付
4343,N330100003_04,腰麻硬膜外联合阻滞麻醉,麻醉费,甲类,属于,不属于,属于,无先支付,无先支付,无先支付
4344,N330100003_05,椎管内麻醉双穿刺点,麻醉费,甲类,属于,不属于,属于,无先支付,无先支付,无先支付
4345,N330100003_06,椎管内麻醉增加时间加收,麻醉费,甲类,属于,属于,属于,无先支付,无先支付,无先支付
4346,N330100004_00,基础麻醉,麻醉费,甲类,属于,不属于,属于,无先支付,无先支付,无先支付
4347,N330100005_01,全身麻醉,麻醉费,甲类,属于,不属于,属于,无先支付,无先支付,无先支付
4348,N330100005_02,全身麻醉--吸入,麻醉费,甲类,属于,不属于,属于,无先支付,无先支付,无先支付
4349,N330100005_03,全身麻醉--静脉,麻醉费,甲类,属于,不属于,属于,无先支付,无先支付,无先支付
4350,N330100005_04,全身麻醉--靶控输入,麻醉费,甲类,属于,不属于,属于,无先支付,无先支付,无先支付
4351,N330100005_05,全身麻醉增加时间加收,麻醉费,甲类,属于,不属于,属于,无先支付,无先支付,无先支付
4352,N330100006_00,血液加温治疗,麻醉费,甲类,属于,不属于,属于,无先支付,无先支付,无先支付
4353,N330100006_01,术中血液加温治疗,麻醉费,甲类,属于,属于,属于,无先支付,无先支付,无先支付
4354,N330100006_02,体外血液加温治疗,麻醉费,甲类,属于,属于,属于,无先支付,无先支付,无先支付
4355,N330100007_01,支气管内麻醉,麻醉费,甲类,属于,不属于,属于,无先支付,无先支付,无先支付
4356,N330100007_02,支气管内麻醉增加时间加收,麻醉费,甲类,属于,属于,属于,无先支付,无先支付,无先支付
4357,N330100008_01,术后镇痛,麻醉费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4358,N330100008_02,静脉硬膜外联合给药镇痛,麻醉费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4359,N330100008_03,腰麻硬膜外联合给药镇痛,麻醉费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4360,N330100008_04,术后镇痛--双穿刺点,麻醉费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4361,N330100008_05,无痛胃镜,麻醉费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4362,N330100008_07,无痛肠镜,麻醉费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4363,N330100008_08,无痛分娩,麻醉费,全自费,属于,不属于,不属于,先支付100%,先支付100%,先支付100%
4364,N330100008_09,无痛人流,麻醉费,全自费,属于,不属于,不属于,先支付100%,先支付100%,先支付100%
4365,N330100008_10,无痛支纤镜,麻醉费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4366,N330100009_00,侧脑室连续镇痛,麻醉费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4367,N330100010_00,硬膜外连续镇痛,麻醉费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4368,N330100011_01,椎管内置管术,麻醉费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4369,N330100011_02,神经根脱髓鞘术,麻醉费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4370,N330100012_00,心肺复苏术,麻醉费,甲类,属于,不属于,属于,无先支付,无先支付,无先支付
4371,N330100013_00,气管插管术,麻醉费,甲类,属于,不属于,属于,无先支付,无先支付,无先支付
4372,N330100014_01,特殊方法气管插管术,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4373,N330100014_02,纤维喉镜置管术,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4374,N330100014_03,气管镜置管术,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4375,N330100015_00,麻醉中监测,检查费,乙类,属于,属于,属于,先支付30%,无先支付,先支付30%
4376,N330100016_00,控制性降压,麻醉费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4377,N330100017_00,体外循环,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4378,N330100018_00,镇痛泵体内置入术,治疗费,乙类,属于,属于,不属于,先支付20%,无先支付,先支付20%
4379,N330200000_01,"神经系统手术--显微镜设备在30万元以上,50万元以下的加收",治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4380,N330200000_02,神经系统手术--显微镜设备在50万元以上的加收,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4381,N330201001_01,头皮肿物切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4382,N330201001_02,头皮肿物(直径大于4cm)切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4383,N330201002_00,颅骨骨瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4384,N330201003_01,帽状腱膜下血肿切开引流术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4385,N330201003_02,帽状腱膜下血肿穿刺引流术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4386,N330201003_03,帽状腱膜下脓肿切开引流术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4387,N330201004_01,颅内硬膜外血肿引流术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4388,N330201004_02,颅内硬膜外脓肿引流术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4389,N330201005_00,脑脓肿穿刺引流术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4390,N330201006_01,开放性颅脑损伤清除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4391,N330201006_02,开放性颅脑损伤(静脉窦破裂)清除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4392,N330201006_03,开放性颅脑火器伤清除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4393,N330201007_00,颅骨凹陷骨折复位术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4394,N330201008_00,去颅骨骨瓣减压术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4395,N330201009_01,颅骨修补术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4396,N330201009_02,颅骨假体植入术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4397,N330201010_01,颅骨钻孔探查术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4398,N330201010_02,颅骨钻孔探查术--两孔以上,手术费,甲类,属于,属于,不属于,无先支付,无先支付,无先支付
4399,N330201011_00,经颅眶肿瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4400,N330201012_00,经颅内镜活检术,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4401,N330201013_01,慢性硬膜下血肿钻孔术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4402,N330201013_02,高血压脑出血碎吸术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4403,N330201014_01,颅内多发血肿清除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4404,N330201014_02,颅内多发血肿(非同一部位血肿)清除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4405,N330201015_01,颅内血肿清除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4406,N330201015_02,经颅内镜颅内血肿清除术,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4407,N330201015_03,单纯硬膜外血肿清除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4408,N330201015_04,经颅内镜单纯硬膜外血肿清除术,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4409,N330201015_05,单纯硬膜下血肿清除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4410,N330201015_06,经颅内镜单纯硬膜下血肿清除术,检查费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4411,N330201015_07,单纯脑内血肿清除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4412,N330201015_08,经颅内镜单纯脑内血肿清除术,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4413,N330201016_00,开颅颅内减压术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4414,N330201017_00,经颅视神经管减压术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4415,N330201018_00,颅内压监护传感器置入术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4416,N330201019_00,侧脑室分流术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4417,N330201020_00,脑室钻孔伴脑室引流术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4418,N330201021_00,颅内蛛网膜囊肿分流术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4419,N330201022_01,幕上浅部病变切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4420,N330201022_02,大脑半球胶质瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4421,N330201022_03,大脑半球转移癌切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4422,N330201022_04,大脑半球胶质增生切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4423,N330201022_05,脑半球凸面脑膜瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4424,N330201022_06,幕上浅部脓肿切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4425,N330201023_00,大静脉窦旁脑膜瘤切除+血管窦重建术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4426,N330201024_01,幕上深部病变切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4427,N330201024_02,脑室内肿瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4428,N330201024_03,脑室内海绵状血管瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4429,N330201024_04,胼胝体肿瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4430,N330201024_05,三室前(突入到第三脑室)颅咽管瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4431,N330201024_06,脑室后部肿瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4432,N330201024_07,幕上深部脓肿切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4433,N330201025_01,第四脑室肿瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4434,N330201025_02,室管膜瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4435,N330201025_03,四脑室导水管囊虫切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4436,N330201026_00,经颅内镜脑室肿瘤切除术,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4437,N330201027_01,桥小脑角肿瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4438,N330201027_02,听神经瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4439,N330201027_03,三叉神经鞘瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4440,N330201027_04,桥小脑角胆脂瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4441,N330201027_05,蛛网膜囊肿切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4442,N330201028_00,脑皮质切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4443,N330201029_00,大脑半球切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4444,N330201030_00,选择性杏仁核海马切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4445,N330201031_00,胼胝体切开术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4446,N330201032_00,多处软脑膜下横纤维切断术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4447,N330201033_01,癫痫病灶切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4448,N330201033_02,软脑膜下烧灼术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4449,N330201033_03,脑叶切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4450,N330201034_00,癫痫刀手术,手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4451,N330201035_00,脑深部电极置入术,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4452,N330201036_01,小脑半球病变切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4453,N330201036_02,小脑半球胶质瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4454,N330201036_03,小脑半球血管网织细胞瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4455,N330201036_04,小脑半球转移癌切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4456,N330201036_05,小脑半球脓肿切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4457,N330201036_06,小脑半球自发性出血清除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4458,N330201037_00,脑干肿瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4459,N330201038_01,鞍区占位病变切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4460,N330201038_02,鞍区颅咽管瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4461,N330201038_03,视神经胶质瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4462,N330201039_00,垂体瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4463,N330201040_00,经口腔入路颅底斜坡肿瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4464,N330201040_01,上颌入路颅底海绵窦侵入肿瘤切除术,手术费,甲类,属于,属于,不属于,无先支付,无先支付,无先支付
4465,N330201041_00,颅底肿瘤切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4466,N330201041_01,前、中颅窝颅内外沟通性肿瘤切除术,手术费,甲类,属于,属于,不属于,无先支付,无先支付,无先支付
4467,N330201041_02,前、中、后颅窝底肿瘤切除术,手术费,甲类,属于,属于,不属于,无先支付,无先支付,无先支付
4468,N330201041_03,颈静脉孔区肿瘤切除术,手术费,甲类,属于,属于,不属于,无先支付,无先支付,无先支付
4469,N330201041_04,上颌外旋颅底手术,手术费,甲类,属于,属于,不属于,无先支付,无先支付,无先支付
4470,N330201042_00,经颅内镜第三脑室底造瘘术,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4471,N330201043_00,经脑室镜胶样囊肿切除术,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4472,N330201044_00,脑囊虫摘除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4473,N330201045_00,经颅内镜经鼻蝶垂体肿瘤切除术,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4474,N330201046_00,经颅内镜脑内囊肿造口术,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4475,N330201047_01,经颅内镜脑内异物摘除术,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4476,N330201047_02,经颅内镜脑内异物摘除术--立体定位仪下,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4477,N330201047_03,经颅内镜脑内异物摘除术--立体定位手术计划系统,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4478,N330201048_00,经颅内镜脑室脉络凑烧灼术,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4479,N330201049_00,终板造瘘术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4480,N330201050_00,海绵窦瘘直接手术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4481,N330201051_00,脑脊液漏修补术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4482,N330201052_00,脑脊膜膨出修补术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4483,N330201053_00,环枕畸形减压术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4484,N330201054_00,经口齿状突切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4485,N330201055_00,颅缝骨化症整形术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4486,N330201056_00,骨纤维异常增殖切除整形术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4487,N330201057_00,颅缝再造术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4488,N330201058_00,大网膜颅内移植术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4489,N330201059_01,立体定向颅内肿物清除术,手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4490,N330201059_02,立体定向颅内肿物清除术--立体定向仪,手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4491,N330201059_04,立体定向颅内血肿清除术,手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4492,N330201059_05,立体定向颅内血肿清除术--立体定向手术计划系统,手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4493,N330201059_06,立体定向颅内血肿清除术--立体定向仪,手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4494,N330201059_07,立体定向颅内脓肿清除术,手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4495,N330201059_08,立体定向颅内肿物清除术--立体定向手术计划系统,手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4496,N330201059_10,立体定向颅内肿瘤清除术,手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4497,N330201059_11,立体定向颅内肿瘤清除术--立体定向仪,手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4498,N330201059_12,立体定向颅内肿瘤清除术--立体定向手术计划系统,手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4499,N330201059_13,立体定向颅内肿物取活检术,手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4500,N330201059_14,立体定向颅内肿物清除术--立体定向仪,手术费,全自费,属于,属于,不属于,,,
4501,N330201059_16,立体定向颅内取异物术,手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4502,N330201059_17,立体定向颅内取异物术--立体定向仪,手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4503,N330201059_18,立体定向颅内取异物术--立体定向手术计划系统,手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4504,N330201060_01,立体定向脑深部核团毁损术,手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4505,N330201060_02,立体定向脑深部核团毁损(两个以上靶点),手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4506,N330201060_03,立体定向脑深部核团毁损术--立体定向仪加收,手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4507,N330201060_04,立体定向脑深部核团毁损术--立体定向手术计划系统加收,手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4508,N330201060_05,立体定向脑深部核团射频治疗,治疗费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4509,N330201060_06,立体定向脑深部核团细胞刀治疗,手术费,全自费,属于,属于,不属于,先支付100%,无先支付,先支付100%
4510,N330202001_00,三叉神经感觉后根切断术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4511,N330202002_01,三叉神经周围支切断术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4512,N330202002_02,三叉神经周围支切断术--酒精封闭,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4513,N330202002_03,三叉神经周围支切断术--甘油封闭,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4514,N330202002_04,三叉神经周围支切断术--冷冻,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4515,N330202002_05,三叉神经周围支切断术--射频,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4516,N330202003_00,三叉神经撕脱术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4517,N330202004_00,三叉神经干鞘膜内注射术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4518,N330202005_00,颞部开颅三叉神经节切断术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4519,N330202006_00,迷路后三叉神经切断术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4520,N330202007_01,颅神经微血管减压术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4521,N330202007_02,经颅内镜颅神经微血管减压术,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4522,N330202008_01,面神经简单修复术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4523,N330202008_02,面神经肌筋膜悬吊术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4524,N330202008_03,面神经神经断端直接吻合术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4525,N330202008_04,面神经局部同一创面的神经移植术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4526,N330202009_01,面神经吻合术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4527,N330202009_02,面舌下神经吻合术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4528,N330202009_03,面副神经吻合术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4529,N330202009_04,听神经瘤手术中颅内直接吻合术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4530,N330202010_00,面神经跨面移植术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4531,N330202011_00,面神经松解减压术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4532,N330202012_00,经耳面神经梳理术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4533,N330202013_00,面神经周围神经移植术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4534,N330202014_00,经迷路前庭神经切断术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4535,N330202015_00,迷路后前庭神经切断术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4536,N330202016_00,经内镜前庭神经切断术,治疗费,乙类,属于,不属于,不属于,先支付20%,无先支付,先支付20%
4537,N330202017_01,经乙状窦后进路神经切断术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4538,N330202017_02,经乙状窦后进路三叉神经切断术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4539,N330202017_03,经乙状窦后进路舌咽神经切断术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4540,N330202018_00,经颅脑脊液耳漏修补术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4541,N330203001_01,颅内巨大动脉瘤夹闭切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4542,N330203001_02,颅内巨大动脉瘤夹闭切除术，多夹除直径大于2.5cm的动脉瘤加收,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4543,N330203001_03,颅内基底动脉瘤夹闭切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4544,N330203001_04,颅内大脑后动脉瘤夹闭切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4545,N330203002_01,颅内动脉瘤夹闭术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4546,N330203002_02,颅内动脉瘤夹闭术动脉瘤，多夹除直径小于2.5cm的动脉瘤加收,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4547,N330203003_01,颅内动脉瘤包裹术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4548,N330203003_02,颅内动脉瘤肌肉包裹术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4549,N330203003_03,颅内动脉瘤生物胶包裹术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4550,N330203003_04,颅内动脉瘤单纯栓塞术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4551,N330203004_01,颅内巨大动静脉畸形栓塞后切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4552,N330203005_00,颅内动静脉畸形切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4553,N330203006_01,脑动脉瘤动静脉畸形切除术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4554,N330203006_02,脑动脉瘤动静脉畸形切除术--动脉瘤与动静脉畸形不在同一部位,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4555,N330203007_01,颈内动脉内膜剥脱术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4556,N330203007_02,颈内动脉内膜剥脱成形术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4557,N330203008_01,椎动脉内膜剥脱术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4558,N330203008_02,椎动脉内膜剥脱成形术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4559,N330203009_00,椎动脉减压术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4560,N330203010_01,颈动脉外膜剥脱术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4561,N330203010_02,颈动脉双侧外膜剥脱术加收,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4562,N330203010_03,颈总动脉外膜剥脱术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4563,N330203010_04,颈内动脉外膜剥脱术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4564,N330203010_05,颈外动脉外膜剥脱术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4565,N330203010_06,迷走神经剥离术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4566,N330203011_01,颈总动脉大脑中动脉吻合术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4567,N330203011_02,颈总动脉大脑中动脉吻合术(如取大隐静脉),手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4568,N330203011_03,颞浅动脉-大脑中动脉吻合术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4569,N330203012_00,颅外内动脉搭桥术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4570,N330203013_00,颞肌颞浅动脉贴敷术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4571,N330203014_01,颈动脉结扎术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4572,N330203014_02,颈内动脉结扎术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
4573,N330203014_03,颈外动脉结扎术,手术费,甲类,属于,不属于,不属于,无先支付,无先支付,无先支付
