2018年 医 保 药 品 目 录,,,,,,,,,,,,
,,,,,,,,,,,,,
序号,医保药品名称,目录类别,目录剂型,目录等级,工伤目录,生育目录,医疗目录,非处方用药,限制范围,普通人员支付类型,特殊人群支付类型,居民支付类型
2978,大明胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药, ,先支付10%,无先支付,先支付10%
2979,活心丸,中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
2980,救心丸,中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
2981,延丹胶囊,中成药,无剂型,乙类,属于,属于,属于,非处方用药,△,先支付5%,无先支付,先支付5%
2982,冠心苏合滴丸,中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
2983,杏灵分散片,中成药,无剂型,乙类,属于,属于,属于,非处方用药,◇；△,先支付5%,无先支付,先支付5%
2984,银杏叶丸(颗粒、胶囊、片、滴丸、口服液),中成药,无剂型,乙类,属于,属于,属于,处方用药,◇,先支付5%,无先支付,先支付5%
2985,银杏叶提取物片(滴剂),中成药,无剂型,乙类,属于,属于,属于,处方用药,◇,先支付5%,无先支付,先支付5%
2986,银杏蜜环口服溶液,中成药,无剂型,乙类,属于,属于,属于,处方用药,◇,先支付5%,无先支付,先支付5%
2987,银杏酮酯颗粒(片、胶囊、滴丸、分散片),中成药,无剂型,乙类,属于,属于,属于,处方用药,◇,先支付5%,无先支付,先支付5%
2988,银杏叶提取物注射液(限二级及以上医疗机构),中成药,无剂型,乙类,属于,属于,属于,处方用药,◇；限二级及以上医疗机构并有明确的缺血性心脑血管疾病急性期患者,先支付5%,无先支付,先支付5%
2989,注射用银杏叶提取物(限二级及以上医疗机构),中成药,无剂型,乙类,属于,属于,属于,处方用药,◇；限二级及以上医疗机构并有明确的缺血性心脑血管疾病急性期患者,先支付5%,无先支付,先支付5%
2990,舒血宁注射液(银杏叶注射液)(限二级及以上医疗机构),中成药,无剂型,乙类,属于,属于,属于,处方用药,◇；限二级及以上医疗机构并有明确的缺血性心脑血管疾病急性期患者,先支付5%,无先支付,先支付5%
2991,银杏达莫注射液(限二级及以上医疗机构),中成药,无剂型,乙类,属于,属于,属于,处方用药,◇；限二级及以上医疗机构并有明确的缺血性心脑血管疾病急性期患者,先支付5%,无先支付,先支付5%
2992,灯盏花素片,中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
2993,丹灯通脑胶囊(片、滴丸),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
2994,灯盏生脉胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
2995,冠心宁注射液(限二级及以上医疗机构),中成药,无剂型,乙类,属于,属于,属于,处方用药,限二级及以上医疗机构,先支付10%,无先支付,先支付10%
2996,龙心素胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
2997,脉管复康胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
2998,脉血康胶囊(肠溶片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
2999,疏血通注射液(限二级及以上医疗机构),中成药,无剂型,乙类,属于,属于,属于,处方用药,限二级及以上医疗机构并有明确的缺血性脑血管疾病急性期患者,先支付5%,无先支付,先支付5%
3000,天丹通络胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3001,红通络口服液,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3002,莶通栓丸(胶囊),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3003,消栓通络颗粒(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3004,消栓再造丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3005,心达康胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3006,心脑康胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3007,心脑舒通胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3008,银盏心脉滴丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3009,逐瘀通脉胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3010,葛酮通络胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3011,心脉隆注射液,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3012,心脑静片,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3013,血络通胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3014,血脉通胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3015,银参通络胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3016,可达灵片,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3017,红花黄色素,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3018,大川芎片(口服液),中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
3019,龙血通络胶囊,中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
3020,脑脉利颗粒,中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
3021,冠心宁片,中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付10%,无先支付,先支付10%
3022,血塞通颗粒(胶囊、片、软胶囊、分散片),中成药,无剂型,乙类,属于,属于,属于,处方用药,◇,先支付5%,无先支付,先支付5%
3023,血栓通胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,◇,先支付5%,无先支付,先支付5%
3024,三七通舒胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,◇,先支付5%,无先支付,先支付5%
3025,血塞通注射液(限二级及以上医疗机构),中成药,无剂型,甲类,属于,属于,属于,处方用药,◇；限二级及以上医疗机构,无先支付,无先支付,无先支付
3026,血栓通注射液(限二级及以上医疗机构),中成药,无剂型,甲类,属于,属于,属于,处方用药,◇；限二级及以上医疗机构,无先支付,无先支付,无先支付
3027,注射用血塞通(冻干)(限二级及以上医疗机构),中成药,无剂型,甲类,属于,属于,属于,处方用药,◇；限二级及以上医疗机构,无先支付,无先支付,无先支付
3028,注射用血栓通(冻干)(限二级及以上医疗机构),中成药,无剂型,甲类,属于,属于,属于,处方用药,◇；限二级及以上医疗机构,无先支付,无先支付,无先支付
3029,灯盏细辛注射液(限二级及以上医疗机构),中成药,无剂型,乙类,属于,属于,属于,处方用药,◇；限二级及以上医疗机构并有明确的缺血性心脑血管疾病急性期患者,先支付10%,无先支付,先支付10%
3030,灯盏花素注射液(限二级及以上医疗机构),中成药,无剂型,乙类,属于,属于,属于,处方用药,◇；限二级及以上医疗机构并有明确的缺血性心脑血管疾病急性期患者,先支付10%,无先支付,先支付10%
3031,注射用灯盏花素(限二级及以上医疗机构),中成药,无剂型,乙类,属于,属于,属于,处方用药,◇；限二级及以上医疗机构并有明确的缺血性心脑血管疾病急性期患者,先支付10%,无先支付,先支付10%
3032,鳖甲煎丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3033,大黄虫丸(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3034,复方鳖甲软肝片,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3035,活血通脉胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3036,脑栓通胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3037,脑血康丸(颗粒、胶囊、片、滴丸、口服液),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3038,消瘀康胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3039,脑血疏口服液,中成药,无剂型,乙类,属于,属于,属于,非处方用药,限出血性中风急性期及恢复早期,先支付10%,无先支付,先支付10%
3040,丹蒌片,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3041,滇白珠糖浆,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3042,醒脑再造丸(胶囊),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3043,瓜蒌皮注射液,中成药,无剂型,乙类,属于,属于,属于,非处方用药,在二级及以上医疗机构并有冠心病、心绞痛明确诊断的患者,先支付10%,无先支付,先支付10%
3044,丹栀逍遥丸,中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3045,逍遥丸(颗粒),中成药,无剂型,甲类,属于,属于,属于,处方用药,△,无先支付,无先支付,无先支付
3046,柴胡舒肝丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3047,柴黄颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3048,朝阳丸(胶囊),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3049,丹栀逍遥胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3050,红花逍遥颗粒(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3051,加味逍遥丸(颗粒、胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3052,九味肝泰胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3053,平肝舒络丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3054,舒肝解郁胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3055,舒肝丸(散、颗粒、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3056,四逆散(颗粒),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3057,逍遥胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3058,乙肝益气解郁颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3059,越鞠丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3060,气滞胃痛颗粒(胶囊、片),中成药,无剂型,甲类,属于,属于,属于,处方用药,△,无先支付,无先支付,无先支付
3061,三九胃泰颗粒,中成药,无剂型,甲类,属于,属于,属于,处方用药,△,无先支付,无先支付,无先支付
3062,胃苏颗粒,中成药,无剂型,甲类,属于,属于,属于,处方用药,△,无先支付,无先支付,无先支付
3063,元胡止痛颗粒(胶囊、片、滴丸),中成药,无剂型,甲类,属于,属于,属于,处方用药,△,无先支付,无先支付,无先支付
3064,荜铃胃痛颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3065,颠茄片,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3066,复方陈香胃片,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3067,复方田七胃痛胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3068,肝达康颗粒(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3069,加味左金丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3070,健胃消炎颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3071,健胃愈疡颗粒(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3072,荆花胃康胶丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3073,快胃片,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3074,摩罗丹,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3075,木香顺气丸(颗粒),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3076,三九胃泰胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3077,舒肝健胃丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3078,舒肝止痛丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3079,胃肠安丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3080,胃康胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3081,胃康灵丸(颗粒、胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3082,胃力康颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3083,胃疼宁片,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3084,胃痛宁片,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3085,香砂枳术丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3086,小儿香橘丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3087,元胡止痛口服液,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3088,枳术丸(颗粒),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3089,枳术宽中胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3090,中满分消丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3091,左金丸(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3092,舒肝调气丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3093,陈香露白露片,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3094,猴头健胃灵胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3095,胃肠复元膏,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3096,胃肠健胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3097,胃祥宁颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3098,小儿扶脾颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3099,元和正胃片,中成药,无剂型,乙类,属于,属于,属于,处方用药, ,先支付10%,无先支付,先支付10%
3100,金胃泰胶囊,中成药,无剂型,乙类,属于,属于,属于,非处方用药,△,先支付5%,无先支付,先支付5%
3101,保和丸(颗粒、片),中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3102,槟榔四消丸(片),中成药,无剂型,乙类,不属于,不属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3103,沉香化滞丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3104,化积口服液(颗粒)(限儿童),中成药,无剂型,乙类,不属于,不属于,属于,处方用药,限儿童,先支付5%,无先支付,先支付5%
3105,开胸顺气丸(胶囊),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3106,木香槟榔丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3107,四磨汤口服液,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3108,王氏保赤丸,中成药,无剂型,乙类,不属于,不属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3109,消积洁白丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3110,小儿化食丸(口服液),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3111,小儿七星茶口服液(颗粒、糖浆),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3112,小儿消食颗粒(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3113,一捻金[指:散剂](胶囊)(限儿童),中成药,无剂型,乙类,不属于,属于,属于,处方用药,限儿童,先支付5%,无先支付,先支付5%
3114,越鞠保和丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3115,枳实导滞丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3116,沙棘干乳剂,中成药,无剂型,乙类,属于,属于,属于,处方用药, ,先支付10%,无先支付,先支付10%
3117,神曲消食口服液,中成药,无剂型,乙类,属于,属于,属于,非处方用药,限儿童,先支付5%,无先支付,先支付5%
3118,川芎茶调丸(散、颗粒、片),中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3119,川芎茶调口服液,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3120,都梁软胶囊(滴丸),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3121,活络丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3122,秦归活络口服液,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3123,祛风止痛丸(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3124,疏风活络丸(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3125,通天口服液,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3126,头风痛丸(胶囊),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3127,镇脑宁胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3128,牛黄降压丸(胶囊、片),中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3129,松龄血脉康胶囊,中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3130,丹珍头痛胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3131,脉君安片,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3132,牛黄抱龙丸(限儿童),中成药,无剂型,乙类,不属于,属于,属于,处方用药,限儿童,先支付10%,无先支付,先支付10%
3133,强力定眩胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3134,清肝降压胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3135,清脑降压颗粒(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3136,全天麻胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3137,天菊脑安胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3138,天麻钩藤颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3139,消眩止晕片,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3140,珍菊降压片,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3141,壮骨关节胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3142,复方天麻颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3143,天麻醒脑胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3144,九味熄风颗粒,中成药,无剂型,乙类,属于,属于,属于,非处方用药,限儿童,先支付5%,无先支付,先支付5%
3145,安宫降压丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3146,复方罗布麻颗粒(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3147,脑立清丸(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3148,平眩胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3149,山绿茶降压胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3150,石龙清血颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3151,天智颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3152,甲亢灵片,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3153,半夏天麻丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3154,癫痫康胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3155,癫痫平片,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3156,化风丹,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3157,天黄猴枣散(限儿童),中成药,无剂型,乙类,属于,属于,属于,处方用药,限儿童,先支付10%,无先支付,先支付10%
3158,小儿葫芦散,中成药,无剂型,乙类,属于,属于,属于,处方用药, ,先支付5%,无先支付,先支付5%
3159,正天丸(胶囊),中成药,无剂型,甲类,属于,属于,属于,处方用药,△,无先支付,无先支付,无先支付
3160,丹膝颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3161,复方夏天无片,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3162,强力天麻杜仲丸(胶囊),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3163,天麻素注射液,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3164,天舒胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3165,头痛宁胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3166,肿痛安胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3167,晕痛定胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3168,灯盏细辛合剂(胶囊、颗粒、软胶囊),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3169,养血清脑丸(颗粒),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3170,养血荣筋丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3171,华佗再造丸,中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3172,人参再造丸,中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3173,大活络丸(胶囊),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3174,二十味沉香丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3175,骨龙胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3176,散风活络丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3177,麝香海马追风膏,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3178,天和追风膏,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3179,天麻丸(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3180,通络开痹片,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3181,小活络丸(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3182,再造丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3183,中风回春丸(颗粒、胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3184,祖师麻膏药,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3185,祖师麻片,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3186,祖师麻注射液,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3187,芪蛭通络胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3188,追风舒经活血片,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3189,川蛭通络胶囊,中成药,无剂型,乙类,属于,属于,属于,非处方用药,限脑梗塞恢复期,先支付10%,无先支付,先支付10%
3190,追风透骨丸(胶囊、片),中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3191,风湿骨痛颗粒(胶囊、片),中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3192,风湿祛痛胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3193,附桂骨痛颗粒(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3194,复方雪莲胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3195,关节止痛膏,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3196,寒湿痹颗粒(片、胶囊),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3197,金乌骨通胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3198,罗浮山风湿膏药,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3199,木瓜丸(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3200,万通筋骨片,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
